ï»¿projected_population_based_on_2020_cph_by_five-year_age_group_and_by_sex_and_single-year_interval,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12
nan,45-49,2736.0,2799.0,2874.0,2956.0,3035.0,3107.0,3170.0,3225.0,3277.0,3330.0,3390.0
nan,50-54,2462.0,2501.0,2533.0,2565.0,2604.0,2655.0,2719.0,2795.0,2876.0,2955.0,3026.0
nan,55-59,2081.0,2132.0,2189.0,2251.0,2308.0,2359.0,2400.0,2434.0,2467.0,2507.0,2557.0
nan,60-64,1745.0,1790.0,1829.0,1869.0,1910.0,1957.0,2011.0,2070.0,2130.0,2187.0,2236.0
nan,65-69,1286.0,1342.0,1404.0,1472.0,1536.0,1592.0,1641.0,1683.0,1722.0,1762.0,1808.0
nan,70-74,896.0,931.0,969.0,1015.0,1064.0,1117.0,1175.0,1236.0,1298.0,1356.0,1409.0
nan,75-79,567.0,586.0,611.0,645.0,681.0,717.0,755.0,792.0,832.0,875.0,921.0
nan,80-84,372.0,360.0,355.0,362.0,373.0,390.0,411.0,435.0,462.0,490.0,519.0
nan,85+,271.0,274.0,273.0,279.0,284.0,287.0,291.0,298.0,307.0,318.0,332.0
Latest Update:,nan,,,,,,,,,,,
20240603 09:00,nan,,,,,,,,,,,
Source:,nan,,,,,,,,,,,
Philippine Statistics Authority (Psa),nan,,,,,,,,,,,
Contact:,nan,,,,,,,,,,,
Demographic And Health Statistics Division (Dhsd),nan,,,,,,,,,,,
Phiilippine Statistics Authority (Psa),nan,,,,,,,,,,,
20Th Floor Psa Headquarters East Ave. Quezon City,nan,,,,,,,,,,,
Tel:8461-0500 Loc 820,nan,,,,,,,,,,,
Vsd.Staff@Psa.Gov.Ph,nan,,,,,,,,,,,
Units:,nan,,,,,,,,,,,
In Thousands,nan,,,,,,,,,,,
Internal Reference Code:,nan,,,,,,,,,,,
1A3Bpop1,nan,,,,,,,,,,,
